Feature,Importance
Price_Above_MA3,0.7176487
Month,0.050017893
Index_Lag1,0.029118976
Index_YoY_Change,0.026677411
Index_MA3,0.025858693
Index_MA12,0.024599977
Index_Lag12,0.022885121
Mortgage_1Y,0.017434938
MA3_MA12_Diff,0.016034812
Mortgage_5Y_Change,0.015948895
Index_Lag3,0.014801877
Prime_Rate,0.012075049
Mortgage_5Y,0.010257349
Mortgage_3Y,0.008485003
Quarter,0.008155359
