Model,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
Linear Regression,0.2531385798601661,0.2080082656398874,0.9237985637427076,52.26564576714422
Random Forest,0.2809531216031455,0.22229643193603,0.9061327267951047,89.20907318444632
XGBoost,0.27588813629205183,0.21856058389585978,0.9094866728607142,80.8689732143824
