City,R2,RMSE,MAE,MAPE,Volatility (σ)
Greater Vancouver,0.8712505188375417,0.2603582704229423,0.2178972664843111,112.47721854039352,0.7412
Calgary,0.8493085392084929,0.34376305283606234,0.264898672913985,85.51909036627713,0.9046
Greater Toronto,0.8458118923459941,0.3906134154849176,0.3356756442036981,79.27881324345203,1.0162
Montreal CMA,0.5235278177828991,0.6100803566123509,0.504241369788006,218.0793408426498,0.9028
Ottawa,0.4523343760896186,0.6120705505894666,0.4312736010476221,120.65046456185753,0.8449
